#,Today,Tomorrow,T-stat,Probability
1,CPRX,XPEV,2.333185,0.84810127
2,GILD,ET,6.799326,0.70833333
3,FIT,LUV,10.829838,0.65836791
4,F,MRNA,3.063193,0.55878285
5,XPEV,PLTR,4.012344,0.50592885
6,LUV,NVDA,8.783513,0.49166667
7,WFC,AMD,4.872649,0.46666667
8,AMD,RKT,2.964153,0.45698925
9,PSEC,INTC,9.195852,0.3958159
10,RKT,IVR,5.483989,0.38876404
11,BA,F,8.11614,0.32913165
12,AMZN,GM,5.346664,0.32503458
13,GM,FIT,5.346664,0.32503458
14,ZNGA,GM,5.346664,0.32503458
15,JPM,AMZN,5.346664,0.32503458
16,NOK,FIT,5.346664,0.32503458
17,INTC,GM,5.346664,0.32503458
18,GE,MRO,3.377502,0.31144068
19,AAL,DKNG,2.955977,0.25614553
20,CRON,HEXO,3.523747,0.24827858
21,NVDA,GM,4.510439,0.24166667
22,DKNG,WORK,5.49596,0.23645385
23,JBLU,DKNG,2.417991,0.2163773
24,APHA,HEXO,2.96385,0.21457821
25,SRNE,INO,2.986865,0.2119776
26,INO,ZM,3.954942,0.21045455
27,TWTR,F,5.852492,0.1957265
28,NRZ,CPRX,3.162357,0.19180819
29,NFLX,F,3.954459,0.1916318
30,TXMD,APHA,2.773453,0.18760234
31,NKLA,SRNE,2.960049,0.18459384
32,HEXO,ACB,2.9482,0.17788162
33,WORK,GILD,5.717652,0.1720653
34,ET,SNAP,2.361905,0.17016317
35,DAL,MRO,2.239353,0.16583417
36,TLRY,HEXO,2.584037,0.16386293
37,WKHS,KOS,2.765829,0.15825321
38,GUSH,WKHS,2.301819,0.15590909
39,PLTR,WORK,2.745717,0.15384615
40,MRNA,NRZ,3.189629,0.14153439
41,SQ,JPM,4.754885,0.13850932
42,MFA,APHA,1.91403,0.13052632
43,SPCE,WORK,2.752019,0.12968548
44,MGM,F,4.556738,0.12896652
45,SAVE,F,5.583096,0.125
46,GPRO,FIT,4.378429,0.12061404
47,UCO,JPM,4.378429,0.12061404
48,IVR,NVDA,3.618711,0.11622807
49,SNAP,INTC,4.216758,0.11324177
50,GNUS,MGM,2.879355,0.11176987
51,MRO,INTC,4.069204,0.10668633
52,KOS,IVR,2.449448,0.10506567
53,ZM,NVDA,3.957038,0.0953271
54,PTON,BA,2.961347,0.08949479
55,NCLH,F,4.489544,0.08823529
56,UAL,AMZN,3.585092,0.08640459
57,CCL,FIT,3.585092,0.08640459
58,UBER,F,2.440774,0.0823254
59,CGC,INTC,3.389916,0.07878788
60,IDEX,LUV,3.496795,0.07852564
61,PENN,NVDA,3.430935,0.07625016
62,RCL,FIT,3.217383,0.07233592
63,OGI,ZNGA,3.217383,0.07233592
64,AMC,NOK,3.217383,0.07233592
65,ACB,INTC,3.138218,0.06946578
66,BYND,JPM,1.980244,0.05793304
67,PLUG,LUV,1.921201,0.04292284